id,numNid,numCellid,timeSearchTerms,timeSortByDistance,timeSortByScore,numGetCluster,numRangeRtree,timeRangeRtree,numRangeZCurve,timeRangeZCurve,numExpandClusterOrder,numMinByteOfTermPNgb,numByteOfTermPNgb,timeReadTermPNgb,timeSearchTermPNgb,numOpticFastRange,timeOpticFastRange,numOpticLuceneRange,timeOpticLuceneRange,timeOpticFunc,timeExcuteQueryFunc,timeTotalPrepareData,timeTotalGetCluster,timeTotal,numCluster,topKScore,

1,0,191,58,0,0,0,0,0,0,0,0,2147483647,0,0,0,1162,19,0,0,26,0,58,0,85,45,0.26806221659318696,

2,0,552,104,1,0,0,0,0,0,0,0,2147483647,0,0,0,10408,1263,0,0,1516,20,107,0,1641,471,0.3283045877779145,

3,0,31,64,0,0,0,0,0,0,0,0,2147483647,0,0,0,1163,75,0,0,88,0,64,0,153,52,0.06801094432174933,

4,0,9,4,0,0,0,0,0,0,0,8,3608,3608,1,3,0,0,17,0,3,0,4,0,8,1,0.02384459303287114,

5,0,578,100,2,0,0,0,0,0,0,0,2147483647,0,0,0,17771,1927,0,0,2269,7,104,0,2377,862,0.34609159848576265,

