id,numNid,numCellid,timeSearchTerms,timeSortByDistance,timeSortByScore,numGetCluster,numRangeRtree,timeRangeRtree,numRangeZCurve,timeRangeZCurve,numExpandClusterOrder,numMinByteOfTermPNgb,numByteOfTermPNgb,timeReadTermPNgb,timeSearchTermPNgb,numOpticFastRange,timeOpticFastRange,numOpticLuceneRange,timeOpticLuceneRange,timeOpticFunc,timeExcuteQueryFunc,timeTotalPrepareData,timeTotalGetCluster,timeTotal,numCluster,topKScore,

1,0,191,269,0,2,0,0,0,0,0,96,0,0,0,0,1162,45,0,0,59,5,272,0,334,45,0.26806221659318696,

2,0,552,189,7,0,0,0,0,0,0,120,0,0,0,0,10408,1445,0,0,1705,14,198,0,1909,471,0.3283045877779145,

3,0,31,13,0,0,0,0,0,0,0,1,0,0,0,0,1163,75,0,0,100,0,13,0,115,52,0.06801094432174933,

4,0,9,14,0,0,0,0,0,0,0,8,0,0,0,0,17,0,0,0,0,0,14,0,15,1,0.02384459303287114,

5,0,578,101,2,1,0,0,0,0,0,112,0,0,0,0,17771,1984,0,0,2337,9,104,0,2448,862,0.34609159848576265,

